Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Day_Name,Month,Year,Prev_Close,Pct_Change,Sign,Close_Trend
2020-01-28,12148.1,12163.55,12024.5,12055.8,478484057,20917.62,Tuesday,January,2020,12119.0,-0.5214951728690546,-,- 0.52%
2020-01-29,12114.9,12169.6,12103.8,12129.5,514362340,20646.18,Wednesday,January,2020,12055.8,0.6113240100200794,+,+ 0.61%
2020-01-30,12147.75,12150.3,12010.6,12035.8,538138743,19372.67,Thursday,January,2020,12129.5,-0.7724968053093757,-,- 0.77%
2020-01-31,12100.4,12103.55,11945.85,11962.1,771278258,26044.91,Friday,January,2020,12035.8,-0.6123398527725529,-,- 0.61%
2020-02-01,11939.0,12017.35,11633.3,11661.85,537634767,20598.12,Saturday,February,2020,11962.1,-2.5100107840596553,-,- 2.51%
2020-02-03,11627.45,11749.85,11614.5,11707.9,669815788,25415.26,Monday,February,2020,11661.85,0.3948773136337654,+,+ 0.39%
2020-02-04,11786.25,11986.15,11783.4,11979.65,560430291,22338.5,Tuesday,February,2020,11707.9,2.3210823461081835,+,+ 2.32%
2020-02-05,12005.85,12098.15,11953.35,12089.15,758032580,22998.05,Wednesday,February,2020,11979.65,0.9140500765882141,+,+ 0.91%
2020-02-06,12120.0,12160.6,12084.65,12137.95,565116236,21735.92,Thursday,February,2020,12089.15,0.40366775166162294,+,+ 0.40%
2020-02-07,12151.15,12154.7,12073.95,12098.35,473475144,16339.61,Friday,February,2020,12137.95,-0.32624949023517447,-,- 0.33%
2020-02-10,12102.35,12103.55,11990.75,12031.5,525674715,17185.14,Monday,February,2020,12098.35,-0.5525546872094158,-,- 0.55%
2020-02-11,12108.4,12172.3,12099.0,12107.9,480491557,16209.52,Tuesday,February,2020,12031.5,0.6349997922121068,+,+ 0.63%
2020-02-12,12151.0,12231.75,12144.3,12201.2,412399174,16598.33,Wednesday,February,2020,12107.9,0.7705712799081682,+,+ 0.77%
2020-02-13,12219.55,12225.65,12139.8,12174.65,501510138,16315.27,Thursday,February,2020,12201.2,-0.21760154738879037,-,- 0.22%
2020-02-14,12190.15,12246.7,12091.2,12113.45,623053270,20759.51,Friday,February,2020,12174.65,-0.502683855388031,-,- 0.50%
2020-02-17,12131.8,12159.6,12037.0,12045.8,455412408,15439.55,Monday,February,2020,12113.45,-0.558470130309709,-,- 0.56%
2020-02-18,12028.25,12030.75,11908.05,11992.5,677307424,18853.0,Tuesday,February,2020,12045.8,-0.4424778761061887,-,- 0.44%
2020-02-19,12090.6,12134.7,12042.1,12125.9,514030605,17610.89,Wednesday,February,2020,11992.5,1.1123618928496948,+,+ 1.11%
2020-02-20,12119.0,12152.0,12071.45,12080.85,502875583,18831.51,Thursday,February,2020,12125.9,-0.37151881509825474,-,- 0.37%
2020-02-24,12012.55,12012.55,11813.4,11829.4,491224913,19421.04,Monday,February,2020,12080.85,-2.0813932794464027,-,- 2.08%
2020-02-25,11877.5,11883.05,11779.9,11797.9,461349973,18510.82,Tuesday,February,2020,11829.4,-0.26628569496339627,-,- 0.27%
2020-02-26,11738.55,11783.25,11639.6,11678.5,567990976,21887.07,Wednesday,February,2020,11797.9,-1.0120445163969827,-,- 1.01%
2020-02-27,11661.25,11663.85,11536.7,11633.3,609266324,21623.47,Thursday,February,2020,11678.5,-0.3870360063364364,-,- 0.39%
2020-02-28,11382.0,11384.8,11175.05,11201.75,810523106,32297.15,Friday,February,2020,11633.3,-3.709609483121722,-,- 3.71%
2020-03-02,11387.35,11433.0,11036.25,11132.75,681148567,24204.55,Monday,March,2020,11201.75,-0.6159751824491709,-,- 0.62%
2020-03-03,11217.55,11342.25,11152.55,11303.3,696919348,23281.2,Tuesday,March,2020,11132.75,1.531966495250493,+,+ 1.53%
2020-03-04,11351.35,11356.6,11082.15,11251.0,798021596,26928.46,Wednesday,March,2020,11303.3,-0.46269673458192984,-,- 0.46%
2020-03-05,11306.05,11389.5,11244.6,11269.0,1353209029,26980.65,Thursday,March,2020,11251.0,0.15998577904186295,+,+ 0.16%
2020-03-06,10942.65,11035.1,10827.4,10989.45,1811564187,26455.29,Friday,March,2020,11269.0,-2.4806992634661396,-,- 2.48%
2020-03-09,10742.05,10751.55,10294.45,10451.45,1566119057,35151.79,Monday,March,2020,10989.45,-4.895604420603396,-,- 4.90%
2020-03-11,10334.3,10545.1,10334.0,10458.4,1219079693,32548.47,Wednesday,March,2020,10451.45,0.0664979500451986,+,+ 0.07%
2020-03-12,10039.95,10040.75,9508.0,9590.15,1344263317,39283.97,Thursday,March,2020,10458.4,-8.301939111145108,-,- 8.30%
2020-03-13,9107.6,10159.4,8555.15,9955.2,1389061775,44167.89,Friday,March,2020,9590.15,3.806509804330496,+,+ 3.81%
2020-03-16,9587.8,9602.2,9165.1,9197.4,898523271,29181.8,Monday,March,2020,9955.2,-7.612102217936366,-,- 7.61%
2020-03-17,9285.4,9403.8,8915.6,8967.05,936185892,28004.16,Tuesday,March,2020,9197.4,-2.50451214473656,-,- 2.50%
2020-03-18,9088.45,9127.55,8407.05,8468.8,1517275761,39256.71,Wednesday,March,2020,8967.05,-5.556453906245644,-,- 5.56%
2020-03-19,8063.3,8575.45,7832.55,8263.45,926508824,34274.23,Thursday,March,2020,8468.8,-2.424782731910053,-,- 2.42%
2020-03-20,8284.45,8883.0,8178.2,8745.45,1072263600,37321.25,Friday,March,2020,8263.45,5.832914823711645,+,+ 5.83%
2020-03-23,7945.7,8159.25,7583.6,7610.25,654151814,23891.9,Monday,March,2020,8745.45,-12.980464127060365,-,- 12.98%
2020-03-24,7848.3,8036.95,7511.1,7801.05,739354439,28282.09,Tuesday,March,2020,7610.25,2.507144968956344,+,+ 2.51%
2020-03-25,7735.15,8376.75,7714.75,8317.85,738114713,28482.01,Wednesday,March,2020,7801.05,6.624749232475118,+,+ 6.62%
2020-03-26,8451.0,8749.05,8304.9,8641.45,866534643,32228.31,Thursday,March,2020,8317.85,3.8904284159969262,+,+ 3.89%
